hausa,english,confidence_score
gilbowa,gilboa,1.0
dagon,dagon,1.0
abinadab,abinadab,1.0
malki,malchishua,1.0
yashobeyam,jashobeam,1.0
kabzeyel,kabzeel,1.0
elhanan,elhanan,1.0
felon,pelonite,1.0
helez,helez,1.0
ikkesh,ikkesh,1.0
sibbekai,sibbecai,1.0
maharai,maharai,1.0
firaton,pirathonite,1.0
ash,gaash,1.0
azmawet,azmaveth,1.0
harar,hararite,1.0
ur,ur,1.0
hefer,hepher,1.0
yowel,joel,1.0
natan,nathan,1.0
zeruhiya,zeruiah,1.0
gareb,gareb,1.0
zabad,zabad,1.0
hanan,hanan,1.0
shimri,shimri,1.0
yediyayel,jediael,1.0
eliyel,eliel,1.0
kish,kish,1.0
attai,attai,1.0
amasai,amasai,1.0
elihu,elihu,1.0
zadok,zadok,1.0
ahiyezer,ahiezer,1.0
issakar,issachar,1.0
naftali,naphtali,1.0
yahaziyel,jahaziel,1.0
shemariya,shemariah,1.0
shefatiya,shephatiah,1.0
elkana,elkanah,1.0
azarel,azarel,1.0
gedor,gedor,1.0
zebadiya,zebadiah,1.0
eliyab,eliab,1.0
ezer,ezer,1.0
ferez,perez,1.0
ahiyo,ahio,1.0
kafintoci,carpenters,1.0
gezer,gezer,1.0
shammuwa,shammua,1.0
shobab,shobab,1.0
ibhar,ibhar,1.0
yafiya,japhia,1.0
nefeg,nepheg,1.0
elifelet,eliphelet,1.0
elishama,elishama,1.0
amminadab,amminadab,1.0
abiyatar,abiathar,1.0
asahiya,asaiah,1.0
uriyel,uriel,1.0
shemahiya,shemaiah,1.0
etan,ethan,1.0
asaf,asaph,1.0
merari,merari,1.0
shemiramot,shemiramoth,1.0
mattitiya,mattithiah,1.0
azaziya,azaziah,1.0
kenaniya,chenaniah,1.0
shebaniya,shebaniah,1.0
eliyezer,eliezer,1.0
netanel,nethanel,1.0
elizafan,elizaphan,1.0
yedutun,jeduthun,1.0
hosa,hosah,1.0
hadadezer,hadadezer,1.0
hadoram,hadoram,1.0
ahitub,ahitub,1.0
abimelek,abimelech,1.0
feletiyawa,pelethites,1.0
nahash,nahash,1.0
hanun,hanun,1.0
medeba,medeba,1.0
nimrod,nimrod,1.0
kaftorawa,caphtorim,1.0
shem,shem,1.0
meshek,meshech,1.0
uz,uz,1.0
eber,eber,1.0
yoktan,joktan,1.0
feleg,peleg,1.0
kenan,kenan,1.0
ebal,ebal,1.0
ofir,ophir,1.0
yobab,jobab,1.0
hawila,havilah,1.0
reyu,reu,1.0
nahor,nahor,1.0
serug,serug,1.0
tera,terah,1.0
kedar,kedar,1.0
nebayiwot,nebaioth,1.0
mibsam,mibsam,1.0
lamek,lamech,1.0
metusela,methuselah,1.0
enok,enoch,1.0
mishma,mishma,1.0
duma,dumah,1.0
yetur,naphish,1.0
ketura,keturah,1.0
dedan,dedan,1.0
yokshan,jokshan,1.0
efer,epher,1.0
hanok,hanoch,1.0
yewush,jeush,1.0
elifaz,eliphaz,1.0
reyuwel,reuel,1.0
yalam,jalam,1.0
gatam,gatam,1.0
omar,omar,1.0
kenaz,kenaz,1.0
nahat,nahath,1.0
mizza,mizzah,1.0
zibeyon,zibeon,1.0
seyir,seir,1.0
dishon,dishon,1.0
dishan,dishan,1.0
shobal,shobal,1.0
lotan,lotan,1.0
yafet,japheth,1.0
onam,onam,1.0
manahat,manahath,1.0
itran,ithran,1.0
bilhan,bilhan,1.0
bela,bela,1.0
beyor,beor,1.0
husham,husham,1.0
samla,samlah,1.0
rehobot,rehoboth,1.0
akbor,achbor,1.0
magog,magog,1.0
tubal,tubal,1.0
mehetabel,mehetabel,1.0
oholibama,oholibamah,1.0
togarma,togarmah,1.0
ashkenaz,ashkenaz,1.0
seba,seba,1.0
ornan,ornan,1.0
beyersheba,beersheba,1.0
sidoniyawa,sidonians,1.0
beriya,beriah,1.0
yahat,jahath,1.0
shebuwel,shebuel,1.0
rehabiya,rehabiah,1.0
amariya,amariah,1.0
mali,mahli,1.0
mushi,mushi,1.0
eder,eder,1.0
haran,haran,1.0
abihu,abihu,1.0
itamar,ithamar,1.0
shekaniya,shecaniah,1.0
eliyashib,eliashib,1.0
immer,immer,1.0
bilga,bilgah,1.0
fetahahiya,pethahiah,1.0
delahiya,delaiah,1.0
shamir,shamir,1.0
yedahiya,jedaiah,1.0
harim,harim,1.0
malkiya,malchijah,1.0
miyamin,mijamin,1.0
netaniya,nethaniah,1.0
yeshahiya,jeshaiah,1.0
mattaniya,mattaniah,1.0
hashabiya,hashabiah,1.0
hanani,hanani,1.0
gedaliya,gedaliah,1.0
meshelemiya,meshelemiah,1.0
hilkiya,hilkiah,1.0
shelemiya,shelemiah,1.0
zikri,zichri,1.0
abner,abner,1.0
yazer,jazer,1.0
yowa,joah,1.0
yehozabad,jehozabad,1.0
ammiyel,ammiel,1.0
kemuwel,kemuel,1.0
omri,omri,1.0
azriyel,azriel,1.0
fedahiya,pedaiah,1.0
adiyel,adiel,1.0
zabdi,zabdi,1.0
shafat,shaphat,1.0
ahitofel,ahithophel,1.0
miklot,mikloth,1.0
nashon,nahshon,1.0
salma,salma,1.0
abigiyel,abigail,1.0
yeter,jether,1.0
hezron,hezron,1.0
azuba,azubah,1.0
hur,hur,1.0
uri,uri,1.0
segub,segub,1.0
yamin,jamin,1.0
shammai,shammai,1.0
abihayil,abihail,1.0
onan,onan,1.0
er,er,1.0
sheshan,sheshan,1.0
ishi,ishi,1.0
maresha,mareshah,1.0
rekem,rekem,1.0
taffuwa,tappuah,1.0
aksa,achsah,1.0
hamul,hamul,1.0
netofawa,netophathites,1.0
rekab,rechab,1.0
yabez,jabez,1.0
karmi,carmi,1.0
ahinowam,ahinoam,1.0
asa,asa,1.0
sheyaltiyel,shealtiel,1.0
zerubbabel,zerubbabel,1.0
meshullam,meshullam,1.0
talmai,talmai,1.0
haggit,haggith,1.0
felatiya,pelatiah,1.0
hattush,hattush,1.0
neyariya,neariah,1.0
igal,igal,1.0
eliyohenai,elioenai,1.0
azrikam,azrikam,1.0
akkub,akkub,1.0
felahiya,pelaiah,1.0
eliyada,eliada,1.0
faseya,paseah,1.0
serahiya,seraiah,1.0
yefunne,jephunneh,1.0
eshtemowa,eshtemoa,1.0
miriyam,miriam,1.0
heber,heber,1.0
zanowa,zanoah,1.0
keyila,keilah,1.0
hodiya,hodiah,1.0
reyahiya,reaiah,1.0
yarib,jarib,1.0
nemuwel,nemuel,1.0
molada,moladah,1.0
ezem,ezem,1.0
betuwel,bethuel,1.0
horma,hormah,1.0
arayim,shaaraim,1.0
saleka,salecah,1.0
bashan,bashan,1.0
guni,guni,1.0
hermon,hermon,1.0
senir,senir,1.0
hala,halah,1.0
gozan,gozan,1.0
fallu,pallu,1.0
meyon,meon,1.0
yehozadak,jehozadak,1.0
libni,libni,1.0
zimma,zimmah,1.0
assir,assir,1.0
ebiyasaf,ebiasaph,1.0
tahat,tahath,1.0
mahat,mahath,1.0
zuf,zuph,1.0
zefaniya,zephaniah,1.0
abishuwa,abishua,1.0
finehas,phinehas,1.0
adahiya,adaiah,1.0
abdi,abdi,1.0
shemer,shemer,1.0
bukki,bukki,1.0
uzzi,uzzi,1.0
zerahiya,zerahiah,1.0
merahiyot,meraioth,1.0
ahimawaz,ahimaaz,1.0
libna,libnah,1.0
yattir,jattir,1.0
debir,debir,1.0
aiyalon,aijalon,1.0
aner,aner,1.0
golan,golan,1.0
daberat,daberath,1.0
kiriyatayim,kiriathaim,1.0
bezer,bezer,1.0
kedemot,kedemoth,1.0
mefa,mephaath,1.0
mahanayim,mahanaim,1.0
shimron,shimron,1.0
