hausa,english
Amma suka tafi da sarkin Ai da rai suka kawo shi wurin Yoshuwa.,"They captured the king of Ai alive, and brought him to Joshua."
"Ka kasa kunne, ya Ubangiji, ka kuma ji; ka buɗe idanunka, ya Ubangiji, ka kuma gani; ka saurara ga dukan maganganun da Sennakerib ya aika don yă zagi Allah mai rai.","Turn your ear, Yahweh, and hear. Open your eyes, Yahweh, and behold. Hear all of the words of Sennacherib, who has sent to defy the living God."
"Bai shiga ta wurin jinin awaki da na maruƙa ba; amma ya shiga Wuri Mafi Tsarki sau ɗaya tak ta wurin jininsa, bayan ya samo madawwamiyar fansa.","nor yet through the blood of goats and calves, but through his own blood, entered in once for all into the Holy Place, having obtained eternal redemption."
"’Yan kunne sun ƙara wa kumatunki kyau, wuyanki yana da jerin kayan wuya masu daraja.","Your cheeks are beautiful with earrings, your neck with strings of jewels."
Da jin wannan Ananiyas babban firist ya umarci waɗanda suke tsaye kusa da Bulus su buge bakinsa.,"The high priest, Ananias, commanded those who stood by him to strike him on the mouth."
"“Ka gaya musu cewa, ‘Ga abin da Ubangiji Mai Iko Duka yana cewa wannan za tă ci gaba? Ba za a tumɓuke ta a kuma kakkaɓe ’ya’yanta don ta bushe ba? Dukan sababbin tohonta za su bushe. Ba sai da hannu mai ƙarfi, ko kuwa da yawan mutane za a tumɓuke ta daga saiwoyinta ba.","“Say, ‘The Lord Yahweh says: “Will it prosper? Won’t he pull up its roots and cut off its fruit, that it may wither, that all its fresh springing leaves may wither? It can’t be raised from its roots by a strong arm or many people."
"In aka kama wani yana kwance da matar wani, dole a kashe dukansu biyu, wato, mutumin da ya kwana da matar da kuma matar. Dole a fid da mugu daga Isra’ila.","If a man is found lying with a woman married to a husband, then they shall both die, the man who lay with the woman and the woman. So you shall remove the evil from Israel."
"Aka kira duk mazan Ai su fafare su, suka kuwa fafari Yoshuwa, aka yaudare su suka yi nisa da birnin.","All the people who were in the city were called together to pursue after them. They pursued Joshua, and were drawn away from the city."
Wuta ta cinye tentinsa; farar wuta ta rufe wurin da yake zama.,There will dwell in his tent that which is none of his. Sulfur will be scattered on his habitation.
"Me nake gani? Sun tsorata, suna ja da baya, an ci jarumawansu. Suna gudu da sauri ba waiwayawa, akwai razana a kowane gefe,” in ji Ubangiji.","Why have I seen it? They are dismayed and are turned backward. Their mighty ones are beaten down, have fled in haste, and don’t look back. Terror is on every side,” says Yahweh."
a ɗaura su a kan ƙyallen kafaɗa efod a matsayin duwatsun tuni ga ’ya’yan Isra’ila. Haruna ne zai ɗauki sunayen a kafaɗarsa don tuni a gaban Ubangiji.,"You shall put the two stones on the shoulder straps of the ephod, to be stones of memorial for the children of Israel. Aaron shall bear their names before Yahweh on his two shoulders for a memorial."
"Sauran ayyukan mulkin Hezekiya da kuma kyawawa ayyukansa, suna a rubuce a cikin wahayin annabi Ishaya ɗan Amoz, a cikin littafin sarakunan Yahuda da Isra’ila.","Now the rest of the acts of Hezekiah and his good deeds, behold, they are written in the vision of Isaiah the prophet, the son of Amoz, in the book of the kings of Judah and Israel."
"don a kāre su daga fāɗuwa cikin rami, a kāre su daga hallaka ta wurin takobi.","He keeps back his soul from the pit, and his life from perishing by the sword."
Ayyukan mugunta na mugun mutum tarko ne gare shi; igiyoyin zunubinsa za su daure shi kankan.,The evil deeds of the wicked ensnare him. The cords of his sin hold him firmly.
"Kwanaki suna zuwa,’ in ji Ubangiji, ‘sa’ad da zan komo da mutanena Isra’ila da Yahuda daga bauta in kuma maido da su ga ƙasar da na ba wa kakanninsu mallaka,’ in ji Ubangiji.”","For, behold, the days come,’ says Yahweh, ‘that I will reverse the captivity of my people Israel and Judah,’ says Yahweh. ‘I will cause them to return to the land that I gave to their fathers, and they will possess it.’”"
Sai Musa da dattawan Isra’ila suka koma sansani.,"Moses went into the camp, he and the elders of Israel."
Ana nan sai Kayinu ya kawo waɗansu amfanin gona a matsayin hadaya ga Ubangiji.,"As time passed, Cain brought an offering to Yahweh from the fruit of the ground."
"Sai ya kwanta, ya miƙe kansa a kan yaron sau uku, ya kuma yi kuka ga Ubangiji ya ce, “Ya Ubangiji Allahna, ka mai da ran yaron nan!”","He stretched himself on the child three times, and cried to Yahweh and said, “Yahweh my God, please let this child’s soul come into him again.”"
"Amma in daga Allah ne, ba za ku iya hana waɗannan mutane ba, za ku dai sami kanku kuna gāba da Allah ne.”","But if it is of God, you will not be able to overthrow it, and you would be found even to be fighting against God!”"
"Gama sarkin Babilon zai tsaya a mararrabar hanya, a inda hanyar ta rabu biyu, don yă yi duba. Zai jefa ƙuri’a da kibiyoyinsa, zai nemi shawarar gumakansa, zai bincike hanta.","For the king of Babylon stood at the parting of the way, at the head of the two ways, to use divination. He shook the arrows back and forth. He consulted the teraphim. He looked in the liver."
Al’ummai za su ɗauke su su kuma kawo wurin da yake nasu. Gidan Isra’ila kuwa za tă mallaki al’ummai a matsayin bayi maza da mata a ƙasar Ubangiji. Za su mai da waɗanda suka kama su su zama kamammu su kuma yi mulki a kan waɗanda suka taɓa danne su.,"The peoples will take them, and bring them to their place. The house of Israel will possess them in Yahweh’s land for servants and for handmaids. They will take as captives those whose captives they were; and they shall rule over their oppressors."
"Da ɗan saƙon ya iso, sai aka ce wa Yehu, “Sun kawo kawunan ’ya’yan sarki.” Sai Yehu ya ce, “Ku ajiye su kashi biyu a ƙofar gari har safiya.”","A messenger came and told him, “They have brought the heads of the king’s sons.” He said, “Lay them in two heaps at the entrance of the gate until the morning.”"
"Amma sa’ad da mahukuncin ya mutu, mutanen suka koma hanyar da ta fi ta kakanninsu muni, sukan bi waɗansu alloli suna bauta musu. Suka ƙi barin mugun ayyukansu da taurin zuciyarsu.","But when the judge was dead, they turned back, and dealt more corruptly than their fathers in following other gods to serve them and to bow down to them. They didn’t cease what they were doing, or give up their stubborn ways."
"Sa’an nan Mikahiya ya amsa, “Na ga dukan Isra’ila sun warwatsu a kan tuddai kamar tumakin da ba su da makiyaya, kuma Ubangiji ya ce, ‘Waɗannan mutane ba su da maigida. Bari kowanne yă tafi gida cikin salama.’ ”","He said, “I saw all Israel scattered on the mountains, as sheep that have no shepherd. Yahweh said, ‘These have no master. Let them each return to his house in peace.’”"
"Zan dami zukatan mutane masu yawa sa’ad da na kawo maka hallaka a cikin al’ummai, a cikin ƙasashen da ba ka taɓa sani ba.","“I will also trouble the hearts of many peoples, when I bring your destruction among the nations, into the countries which you have not known."
"Amma a yanzu da aka ’yantar da ku daga zunubi kuka kuma zama bayi ga Allah, ribar da kuka samu tana kai ga zaman tsarki, ƙarshenta kuwa rai madawwami ne.","But now, being made free from sin and having become servants of God, you have your fruit of sanctification and the result of eternal life."
"Za ka hallaka ’ya’yansu daga duniya, zuriyarsu kuma daga ’yan adam.","You will destroy their descendants from the earth, their posterity from among the children of men."
Ba ku sani ba cewa jikunanku gaɓoɓin Kiristi ne kansa? Zai kyautu in ɗauki gaɓoɓin Kiristi in haɗa da jikin karuwa? Sam!,Don’t you know that your bodies are members of Christ? Shall I then take the members of Christ and make them members of a prostitute? May it never be!
"Da Ataliya mahaifiyar Ahaziya ta ga ɗanta ya mutu, sai ta shiga hallaka dukan iyalin gidan sarauta.","Now when Athaliah the mother of Ahaziah saw that her son was dead, she arose and destroyed all the royal offspring."
"Itacen ya yi girma ya kuma yi ƙarfi, har tsayinsa ya taɓa sarari sama; ana iya ganinsa a ko’ina a duniya.",The tree grew and was strong. Its height reached to the sky and its sight to the end of all the earth.
"Dukan mutanenta suna nishi da ƙyar suna neman burodi; sun sayar da dukiyarsu don su samu abinci don kada su mutu da yunwa. “Ubangiji, ka duba ka gani, gama an yashe ni.”","All her people sigh. They seek bread. They have given their pleasant things for food to refresh their soul. “Look, Yahweh, and see, for I have become despised.”"
"Sa’an nan za ku riƙa tuna, ku kuma aikata dukan umarnaina ku zama tsarkaka ga Allahnku.","so that you may remember and do all my commandments, and be holy to your God."
"da Magfiyash, da Meshullam, da Hezir,","Magpiash, Meshullam, Hezir,"
"Saboda haka Haruna ya yi kamar yadda Musa ya faɗa, ya ruga a guje zuwa tsakiyar taron. An riga an fara annobar a cikin mutane, amma Haruna ya miƙa turaren ya kuma yi kafara dominsu.","Aaron did as Moses said, and ran into the middle of the assembly. The plague had already begun among the people. He put on the incense, and made atonement for the people."
"sai dai an fanshe ku da jini mai daraja na Kiristi, ɗan rago marar aibi ko lahani.","but with precious blood, as of a lamb without blemish or spot, the blood of Christ,"
"Suka ba shi shekel saba’in na azurfa daga haikalin Ba’al-Berit, Abimelek kuwa ya yi amfani da shi ya yi hayar ’yan tauri waɗanda suka zama masu binsa.","They gave him seventy pieces of silver out of the house of Baal Berith, with which Abimelech hired vain and reckless fellows who followed him."
"Kowace hadaya ta garin da aka toya a tanda, ko aka dafa a tukunya ko a kan kaskon tuya, na firist da ya miƙa ta ne,","Every meal offering that is baked in the oven, and all that is prepared in the pan and on the griddle, shall be the priest’s who offers it."
